LOHIYA OUTLET AI — KIRANA UNIFIED SURVEY + INTERVIEW FLOW,,,,,,,,,,,,,,,
"Suggested visit flow: 1) Profile the outlet & operating model  →  2) Check digital / POS readiness and current bookkeeping  →  3) Understand customer demand, wishlist, and purchase sourcing  →  4) Capture reorder logic, SKU load, fast movers, and stock position  →  5) Review pricing, schemes, competition, and quick-commerce pressure  →  6) Assess credit, funding, working capital, and cash stress  →  7) Check AI adoption, trust, and success metrics.",,,,,,,,,,,,,,,
Sales-team instruction: Ask the structured survey questions first. Use interview probes only after the outlet owner/staff has responded to the structured question. Capture evidence in the observation column before scoring.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Seq,Stage,Question ID,Mode,Section / Theme,Question,Response Type,Answer Options / Probe Angle,Customer Input / Observation,Customer Rating (1-5),Business Impact (1-5),AI Fit / Feasibility (1-5),Weighted Score,Priority Bucket,Recommended Action,Sales Notes / Next Step
1,1. Outlet profile & business model,K-S01,Survey,Store Profile,What type of kirana store is this?,Single select,Neighborhood kirana; Mini supermarket; General store; Wholesale-retail hybrid; Other,Mini supermarket,4,4,1,3.40,P2 - Near Term,Discuss for MVP / Pilot,
2,1. Outlet profile & business model,K-S02,Survey,Store Profile,How many years has this outlet been operating?,Single select,<1 year; 1–3 years; 4–7 years; 8–15 years; 15+ years,4–7 years,3,4,5,3.75,P2 - Near Term,Discuss for MVP / Pilot,
3,1. Outlet profile & business model,K-S03,Survey,Store Profile,"How many people work in this outlet, including family members?",Single select,1; 2–3; 4–5; 6–10; 10+,6–10,4,3,1,3.05,P3 - Observe,Keep for later phase,
4,1. Outlet profile & business model,K-S29,Survey,Digital & POS Readiness,Are you using any device / computer / billing machine for POS or store operations?,Single select,No device / manual only; Smartphone only; Basic billing machine; Computer + billing/POS; Mixed setup,No device / manual only,3,3,1,2.60,P3 - Observe,Keep for later phase,
5,1. Outlet profile & business model,K-S30,Survey,Digital & POS Readiness,How would you rate your digital capability / knowledge for running the store?,5-point scale,1 Very low → 5 Very confident,,,,,,,,
6,1. Outlet profile & business model,K-S31,Survey,"Books, Sales & Profit Tracking","How do you enter purchases and sales today, and how do you arrive at profit?",Multi select,Memory only; Notebook / register; Calculator; Billing / POS report; Excel; Tally / accounting app; Family member / CA support; Not tracked clearly,,,,,,,,
7,1. Outlet profile & business model,K-I01,Interview Probe,Business Model & Economics,Walk me through how this store makes money across key categories.,Open-ended,What drives best margin? Fastest cash rotation? Emotionally vs financially important categories? | Signal: Margin-maximizing vs cash-maximizing behavior,,3,3,2,2.80,P3 - Observe,Keep for later phase,Base priority: High
8,1. Outlet profile & business model,K-I02,Interview Probe,Business Model & Economics,How do you decide what to reorder on a normal day or week?,Open-ended,What is memory-based? Distributor-based? Sales-based? | Signal: AI must fit existing reorder heuristics,,,,,,,,Base priority: High
9,"2. Customer demand, analytics & wishlist",K-S04,Survey,Sales Mix & Demand,Which categories contribute most to monthly sales?,Multi select,Staples; Snacks; Beverages; Dairy; Home care; Personal care; Frozen; Tobacco / impulse; Other,,,,,,,,
10,"2. Customer demand, analytics & wishlist",K-S05,Survey,Sales Mix & Demand,What share of sales is repeat local-customer vs walk-in impulse?,Single select,Mostly repeat; More repeat than impulse; Roughly equal; More impulse than repeat; Mostly impulse,,,,,,,,
11,"2. Customer demand, analytics & wishlist",K-S23,Survey,Customer Analytics & Wishlist,How do you currently identify repeat customers / regular households?,Single select,Mostly memory; Notebook; Billing / POS; WhatsApp lists; Loyalty / CRM; No formal method,,,,,,,,
12,"2. Customer demand, analytics & wishlist",K-S24,Survey,Customer Analytics & Wishlist,What unmet customer-demand / wishlist signals do you capture?,Multi select,Asked but unavailable items; Brand / pack-size requests; Price complaints; Competitor availability; Seasonal asks; WhatsApp requests; No formal capture,,,,,,,,
13,"2. Customer demand, analytics & wishlist",K-I15,Interview Probe,Customer Analytics & Wishlist,How do you know what repeat households buy regularly and what they wish you stocked?,Open-ended,"Do you track by memory, WhatsApp, billing history, notebook, staff feedback, or customer asks? | Signal: Customer analytics + wishlist capture model",,,,,,,,Base priority: High
14,"3. Reordering, sourcing & demand planning",K-S32,Survey,Purchase Frequency & Sourcing,How frequently do you purchase from the market / wholesale source?,Single select,Daily; 2–3 times per week; Weekly; Fortnightly; Monthly / only when needed,,,,,,,,
15,"3. Reordering, sourcing & demand planning",K-S33,Survey,Purchase Frequency & Sourcing,"For the same item, where do you usually buy from or compare before purchase?",Multi select,Primary distributor; Wholesale bazaar / mandi; Nearby shop / neighbor store; Online B2B (Udaan / JioMart / Jumbotail / Metro); Cash-and-carry; Depends on offer / availability,,,,,,,,
16,3. Reordering & demand planning,K-S06,Survey,Demand Planning,How do you decide what to reorder?,Multi select,Memory / owner judgment; Distributor recommendation; WhatsApp / phone demand; POS report; Family input; Scheme-led buying; Other,,,,,,,,
17,3. Reordering & demand planning,K-S07,Survey,Demand Planning,How often do you place replenishment orders?,Single select,Daily; 2–3 times per week; Weekly; Fortnightly; Monthly / as needed,,,,,,,,
